addressID~addressLine1~addressLine2~addressLine3~addressLine4~city~CountrySubdivisionCodeId~postalCode~country~countrySubdivision~DocumentKey~LastUpdatedBy
'1'~'10 S. Riverside Plaza          1'~'Chicago IL 60606 USA          1'~'xxxxx3'~''~'test'~'0'~''~'1'~''~~
'191'~'10 S. Riverside Plaza        191'~'Chicago IL 60606 USA        191'~''~''~'London'~'0'~'K56 Y74'~'19'~''~'358E5E47-8A1A-4757-819C-2D6D885D4D53'~'EE941B63-32EA-48F8-BA3F-49D0D0EE5F6D'
'192'~'10 S. Riverside Plaza        192'~'Chicago IL 60606 USA        192'~''~''~''~'0'~''~'0'~''~'56414145-0A35-4AC4-85E1-49C14EFCD6BE'~'EE941B63-32EA-48F8-BA3F-49D0D0EE5F6D'
'193'~'10 S. Riverside Plaza        193'~'Chicago IL 60606 USA        193'~''~''~''~'0'~''~'0'~''~'56414145-0A35-4AC4-85E1-49C14EFCD6BE'~'EE941B63-32EA-48F8-BA3F-49D0D0EE5F6D'
'194'~'10 S. Riverside Plaza        194'~'Chicago IL 60606 USA        194'~''~''~'test'~'0'~''~'21'~''~'593D46E5-FA64-4785-AF4D-3218A164F8DE'~'CDA8FD66-D537-41C5-BD03-44781B3EE715'
'195'~'10 S. Riverside Plaza        195'~'Chicago IL 60606 USA        195'~''~''~''~'0'~''~'0'~''~'593D46E5-FA64-4785-AF4D-3218A164F8DE'~'CDA8FD66-D537-41C5-BD03-44781B3EE715'
'196'~'10 S. Riverside Plaza        196'~'Chicago IL 60606 USA        196'~''~''~''~'0'~''~'0'~''~'593D46E5-FA64-4785-AF4D-3218A164F8DE'~'CDA8FD66-D537-41C5-BD03-44781B3EE715'
'197'~'10 S. Riverside Plaza        197'~'Chicago IL 60606 USA        197'~''~''~'test'~'0'~''~'54'~''~'2CBD37B4-B7C5-4506-B979-68D2E8DA649A'~'CDA8FD66-D537-41C5-BD03-44781B3EE715'
'198'~'10 S. Riverside Plaza        198'~'Chicago IL 60606 USA        198'~''~''~''~'0'~''~'0'~''~'2CBD37B4-B7C5-4506-B979-68D2E8DA649A'~'CDA8FD66-D537-41C5-BD03-44781B3EE715'
'199'~'10 S. Riverside Plaza        199'~'Chicago IL 60606 USA        199'~''~''~''~'0'~''~'0'~''~'2CBD37B4-B7C5-4506-B979-68D2E8DA649A'~'CDA8FD66-D537-41C5-BD03-44781B3EE715'
'200'~'10 S. Riverside Plaza        200'~'Chicago IL 60606 USA        200'~''~''~'test'~'0'~''~'34'~''~'62E6B7F0-3ABA-4778-9E70-F0D6340DEA75'~'66FC0F36-1060-4CDE-8AF7-7CF4DC076154'
'201'~'10 S. Riverside Plaza        201'~'Chicago IL 60606 USA        201'~''~''~''~'0'~''~'0'~''~'62E6B7F0-3ABA-4778-9E70-F0D6340DEA75'~'66FC0F36-1060-4CDE-8AF7-7CF4DC076154'
'202'~'10 S. Riverside Plaza        202'~'Chicago IL 60606 USA        202'~''~''~''~'0'~''~'0'~''~'62E6B7F0-3ABA-4778-9E70-F0D6340DEA75'~'66FC0F36-1060-4CDE-8AF7-7CF4DC076154'
'203'~'10 S. Riverside Plaza        203'~'Chicago IL 60606 USA        203'~''~''~'test'~'0'~''~'99'~''~'DCF45FF2-5948-4B80-A7F2-B6BB0AB8B497'~'07D99672-970A-4B4F-96D2-C738FE3FEE5F'
'204'~'10 S. Riverside Plaza        204'~'Chicago IL 60606 USA        204'~''~''~''~'0'~''~'0'~''~'DCF45FF2-5948-4B80-A7F2-B6BB0AB8B497'~'07D99672-970A-4B4F-96D2-C738FE3FEE5F'
'205'~'10 S. Riverside Plaza        205'~'Chicago IL 60606 USA        205'~''~''~''~'0'~''~'0'~''~'DCF45FF2-5948-4B80-A7F2-B6BB0AB8B497'~'07D99672-970A-4B4F-96D2-C738FE3FEE5F'
'206'~'10 S. Riverside Plaza        206'~'Chicago IL 60606 USA        206'~''~''~'test'~'0'~''~'72'~''~'46BF5648-65D7-443C-BEDD-F169BC097E80'~'66FC0F36-1060-4CDE-8AF7-7CF4DC076154'
'207'~'10 S. Riverside Plaza        207'~'Chicago IL 60606 USA        207'~''~''~''~'0'~''~'0'~''~'462E6AA6-AF02-4EDF-B62B-438FEE7DFAEC'~'86DBFFF6-CBB6-49B3-A2D1-052B52FE1326'
'208'~'10 S. Riverside Plaza        208'~'Chicago IL 60606 USA        208'~''~''~''~'0'~''~'0'~''~'462E6AA6-AF02-4EDF-B62B-438FEE7DFAEC'~'86DBFFF6-CBB6-49B3-A2D1-052B52FE1326'
'209'~'10 S. Riverside Plaza        209'~'Chicago IL 60606 USA        209'~''~''~'test'~'0'~''~'0'~''~'9977127D-FF5A-49C9-B57B-CCDD8AA96ED6'~'66FC0F36-1060-4CDE-8AF7-7CF4DC076154'
'210'~'10 S. Riverside Plaza        210'~'Chicago IL 60606 USA        210'~''~''~''~'0'~''~'0'~''~'3A83A009-ED38-4C2E-B3CE-58C6A57081CA'~'66FC0F36-1060-4CDE-8AF7-7CF4DC076154'
'211'~'10 S. Riverside Plaza        211'~'Chicago IL 60606 USA        211'~''~''~''~'0'~''~'0'~''~'3A83A009-ED38-4C2E-B3CE-58C6A57081CA'~'66FC0F36-1060-4CDE-8AF7-7CF4DC076154'
'212'~'10 S. Riverside Plaza        212'~'Chicago IL 60606 USA        212'~''~''~''~'0'~''~'0'~''~'A79FE6DA-5E1F-49B8-BD48-60B8462D15F5'~'66FC0F36-1060-4CDE-8AF7-7CF4DC076154'
'213'~'10 S. Riverside Plaza        213'~'Chicago IL 60606 USA        213'~''~''~''~'0'~''~'0'~''~'DEF4597A-F741-4312-A632-57D0F336A3C8'~'66FC0F36-1060-4CDE-8AF7-7CF4DC076154'
'214'~'10 S. Riverside Plaza        214'~'Chicago IL 60606 USA        214'~''~''~''~'0'~''~'0'~''~'DEF4597A-F741-4312-A632-57D0F336A3C8'~'66FC0F36-1060-4CDE-8AF7-7CF4DC076154'
'215'~'10 S. Riverside Plaza        215'~'Chicago IL 60606 USA        215'~''~''~'test'~'0'~''~'83'~''~'8B6DFF68-A771-4E25-BF23-38CBBA209C43'~'00132F45-6152-492A-8FC5-156917C41750'
'216'~'10 S. Riverside Plaza        216'~'Chicago IL 60606 USA        216'~''~''~''~'0'~''~'0'~''~'8B6DFF68-A771-4E25-BF23-38CBBA209C43'~'00132F45-6152-492A-8FC5-156917C41750'
'217'~'10 S. Riverside Plaza        217'~'Chicago IL 60606 USA        217'~''~''~''~'0'~''~'0'~''~'8B6DFF68-A771-4E25-BF23-38CBBA209C43'~'00132F45-6152-492A-8FC5-156917C41750'
'218'~'10 S. Riverside Plaza        218'~'Chicago IL 60606 USA        218'~''~''~'test'~'0'~''~'81'~''~'3632D22B-849A-45CC-8E1E-EC39C75C25FF'~'CDA8FD66-D537-41C5-BD03-44781B3EE715'
'219'~'10 S. Riverside Plaza        219'~'Chicago IL 60606 USA        219'~''~''~''~'0'~''~'0'~''~'3632D22B-849A-45CC-8E1E-EC39C75C25FF'~'CDA8FD66-D537-41C5-BD03-44781B3EE715'
'220'~'10 S. Riverside Plaza        220'~'Chicago IL 60606 USA        220'~''~''~''~'0'~''~'0'~''~'3632D22B-849A-45CC-8E1E-EC39C75C25FF'~'CDA8FD66-D537-41C5-BD03-44781B3EE715'
'221'~'10 S. Riverside Plaza        221'~'Chicago IL 60606 USA        221'~''~''~'test'~'7'~''~'76'~''~'49416656-B736-4BB2-BA1C-50FE6452ACF3'~'580C4EC0-04C1-4496-B286-CFB127A2D988'
'222'~'10 S. Riverside Plaza        222'~'Chicago IL 60606 USA        222'~''~''~''~'0'~''~'0'~''~'E8E94840-D2B5-4E2A-B012-01409E1D6811'~'66FC0F36-1060-4CDE-8AF7-7CF4DC076154'
'223'~'10 S. Riverside Plaza        223'~'Chicago IL 60606 USA        223'~''~''~''~'0'~''~'0'~''~'E8E94840-D2B5-4E2A-B012-01409E1D6811'~'66FC0F36-1060-4CDE-8AF7-7CF4DC076154'
'224'~'10 S. Riverside Plaza        224'~'Chicago IL 60606 USA        224'~''~''~''~'0'~''~'0'~''~'EF0F599F-BF2F-47F1-B1FD-4D5300609459'~'66FC0F36-1060-4CDE-8AF7-7CF4DC076154'
'225'~'10 S. Riverside Plaza        225'~'Chicago IL 60606 USA        225'~''~''~''~'0'~''~'0'~''~'DA3F26E6-016B-4988-8E8B-2958B4821FD8'~'66FC0F36-1060-4CDE-8AF7-7CF4DC076154'
'226'~'10 S. Riverside Plaza        226'~'Chicago IL 60606 USA        226'~''~''~''~'0'~''~'0'~''~'DA3F26E6-016B-4988-8E8B-2958B4821FD8'~'66FC0F36-1060-4CDE-8AF7-7CF4DC076154'
'227'~'10 S. Riverside Plaza        227'~'Chicago IL 60606 USA        227'~''~''~'test'~'0'~''~'2'~''~'D8011A71-D8F2-488E-85EF-8CC9F3A07C40'~'65E98D33-B9FD-46EC-959C-86178B825F6B'
'228'~'10 S. Riverside Plaza        228'~'Chicago IL 60606 USA        228'~''~''~''~'0'~''~'0'~''~'D8011A71-D8F2-488E-85EF-8CC9F3A07C40'~'65E98D33-B9FD-46EC-959C-86178B825F6B'
'229'~'10 S. Riverside Plaza        229'~'Chicago IL 60606 USA        229'~''~''~''~'0'~''~'0'~''~'D8011A71-D8F2-488E-85EF-8CC9F3A07C40'~'65E98D33-B9FD-46EC-959C-86178B825F6B'
'230'~'10 S. Riverside Plaza        230'~'Chicago IL 60606 USA        230'~''~''~'warwick'~'0'~''~'54'~''~'7369CC96-AD0B-452B-893E-FF40BF0DD903'~'220F3987-6756-4274-9F1A-02F81C889E88'
'231'~'10 S. Riverside Plaza        231'~'Chicago IL 60606 USA        231'~''~''~''~'0'~''~'0'~''~'D8C39CB6-D9EB-49CF-AADD-BD7BE8283130'~'86DBFFF6-CBB6-49B3-A2D1-052B52FE1326'
'232'~'10 S. Riverside Plaza        232'~'Chicago IL 60606 USA        232'~''~''~''~'0'~''~'0'~''~'D8C39CB6-D9EB-49CF-AADD-BD7BE8283130'~'86DBFFF6-CBB6-49B3-A2D1-052B52FE1326'
'233'~'10 S. Riverside Plaza        233'~'Chicago IL 60606 USA        233'~''~''~'warwick'~'0'~''~'72'~''~'D5E73773-1E36-4FDE-A224-21A3E00F67DE'~'86DBFFF6-CBB6-49B3-A2D1-052B52FE1326'
'234'~'10 S. Riverside Plaza        234'~'Chicago IL 60606 USA        234'~''~''~''~'0'~''~'0'~''~'D5E73773-1E36-4FDE-A224-21A3E00F67DE'~'86DBFFF6-CBB6-49B3-A2D1-052B52FE1326'
'235'~'10 S. Riverside Plaza        235'~'Chicago IL 60606 USA        235'~''~''~''~'0'~''~'0'~''~'D5E73773-1E36-4FDE-A224-21A3E00F67DE'~'86DBFFF6-CBB6-49B3-A2D1-052B52FE1326'
'236'~'10 S. Riverside Plaza        236'~'Chicago IL 60606 USA        236'~''~''~'warwick'~'0'~''~'99'~''~'1ADD3263-32A5-44F5-9FBE-D7F42C04DD3A'~'580C4EC0-04C1-4496-B286-CFB127A2D988'
'237'~'10 S. Riverside Plaza        237'~'Chicago IL 60606 USA        237'~''~''~''~'0'~''~'0'~''~'1ADD3263-32A5-44F5-9FBE-D7F42C04DD3A'~'580C4EC0-04C1-4496-B286-CFB127A2D988'
'238'~'10 S. Riverside Plaza        238'~'Chicago IL 60606 USA        238'~''~''~''~'0'~''~'0'~''~'1ADD3263-32A5-44F5-9FBE-D7F42C04DD3A'~'580C4EC0-04C1-4496-B286-CFB127A2D988'
'239'~'10 S. Riverside Plaza        239'~'Chicago IL 60606 USA        239'~''~''~'Coventry'~'0'~''~'19'~''~'A85944B9-D477-424A-AB4E-9464C8276351'~'EE941B63-32EA-48F8-BA3F-49D0D0EE5F6D'
'240'~'10 S. Riverside Plaza        240'~'Chicago IL 60606 USA        240'~''~''~''~'0'~''~'0'~''~'A85944B9-D477-424A-AB4E-9464C8276351'~'EE941B63-32EA-48F8-BA3F-49D0D0EE5F6D'
'241'~'10 S. Riverside Plaza        241'~'Chicago IL 60606 USA        241'~''~''~''~'0'~''~'0'~''~'A85944B9-D477-424A-AB4E-9464C8276351'~'EE941B63-32EA-48F8-BA3F-49D0D0EE5F6D'
'242'~'10 S. Riverside Plaza        242'~'Chicago IL 60606 USA        242'~''~''~'Newcastle'~'0'~''~'19'~''~'A8615421-B7DB-48D7-B876-2BDE1E3B6762'~'EE941B63-32EA-48F8-BA3F-49D0D0EE5F6D'
'243'~'10 S. Riverside Plaza        243'~'Chicago IL 60606 USA        243'~''~''~''~'0'~''~'0'~''~'A8615421-B7DB-48D7-B876-2BDE1E3B6762'~'EE941B63-32EA-48F8-BA3F-49D0D0EE5F6D'
'244'~'10 S. Riverside Plaza        244'~'Chicago IL 60606 USA        244'~''~''~''~'0'~''~'0'~''~'A8615421-B7DB-48D7-B876-2BDE1E3B6762'~'EE941B63-32EA-48F8-BA3F-49D0D0EE5F6D'
'245'~'10 S. Riverside Plaza        245'~'Chicago IL 60606 USA        245'~''~'Yorkshire'~'Halifax'~'0'~'4Y7 8K2'~'19'~''~'C83FA719-1673-470E-BCC0-4EC4F5B9CD55'~'200F511C-8E85-4345-B392-1C79BFDF0905'
'246'~'10 S. Riverside Plaza        246'~'Chicago IL 60606 USA        246'~''~''~''~'0'~''~'0'~''~'C83FA719-1673-470E-BCC0-4EC4F5B9CD55'~'200F511C-8E85-4345-B392-1C79BFDF0905'
'247'~'10 S. Riverside Plaza        247'~'Chicago IL 60606 USA        247'~''~''~''~'0'~''~'0'~''~'C83FA719-1673-470E-BCC0-4EC4F5B9CD55'~'200F511C-8E85-4345-B392-1C79BFDF0905'
'248'~'10 S. Riverside Plaza        248'~'Chicago IL 60606 USA        248'~''~''~''~'0'~'-'~'0'~''~'B2D2CB3B-5C1C-4F28-B628-83E878325610'~'66FC0F36-1060-4CDE-8AF7-7CF4DC076154'
'249'~'10 S. Riverside Plaza        249'~'Chicago IL 60606 USA        249'~''~''~''~'0'~''~'0'~''~'B2D2CB3B-5C1C-4F28-B628-83E878325610'~'66FC0F36-1060-4CDE-8AF7-7CF4DC076154'
'250'~'10 S. Riverside Plaza        250'~'Chicago IL 60606 USA        250'~''~''~''~'0'~''~'0'~''~'B2D2CB3B-5C1C-4F28-B628-83E878325610'~'66FC0F36-1060-4CDE-8AF7-7CF4DC076154'
'251'~'10 S. Riverside Plaza        251'~'Chicago IL 60606 USA        251'~''~''~''~'0'~'-'~'0'~''~'78B5A80F-F2F7-4397-83F4-8F6D0120F802'~'66FC0F36-1060-4CDE-8AF7-7CF4DC076154'
'252'~'10 S. Riverside Plaza        252'~'Chicago IL 60606 USA        252'~''~''~''~'0'~''~'0'~''~'78B5A80F-F2F7-4397-83F4-8F6D0120F802'~'66FC0F36-1060-4CDE-8AF7-7CF4DC076154'
'253'~'10 S. Riverside Plaza        253'~'Chicago IL 60606 USA        253'~''~''~''~'0'~''~'0'~''~'78B5A80F-F2F7-4397-83F4-8F6D0120F802'~'66FC0F36-1060-4CDE-8AF7-7CF4DC076154'
'254'~'10 S. Riverside Plaza        254'~'Chicago IL 60606 USA        254'~''~''~'chicago'~'15'~''~'76'~''~'FDDD9F9E-5A02-4CEF-862F-332D34C68C9A'~'86DBFFF6-CBB6-49B3-A2D1-052B52FE1326'
'255'~'10 S. Riverside Plaza        255'~'Chicago IL 60606 USA        255'~''~''~''~'0'~''~'0'~''~'FDDD9F9E-5A02-4CEF-862F-332D34C68C9A'~'86DBFFF6-CBB6-49B3-A2D1-052B52FE1326'
'256'~'10 S. Riverside Plaza        256'~'Chicago IL 60606 USA        256'~''~''~''~'0'~''~'0'~''~'FDDD9F9E-5A02-4CEF-862F-332D34C68C9A'~'86DBFFF6-CBB6-49B3-A2D1-052B52FE1326'
'257'~'10 S. Riverside Plaza        257'~'Chicago IL 60606 USA        257'~''~''~'chicago'~'15'~''~'76'~''~'EBB06DD3-2B40-43E4-9405-29ABD2033262'~'86DBFFF6-CBB6-49B3-A2D1-052B52FE1326'
'258'~'10 S. Riverside Plaza        258'~'Chicago IL 60606 USA        258'~''~''~''~'0'~''~'0'~''~'EBB06DD3-2B40-43E4-9405-29ABD2033262'~'86DBFFF6-CBB6-49B3-A2D1-052B52FE1326'
'259'~'10 S. Riverside Plaza        259'~'Chicago IL 60606 USA        259'~''~''~''~'0'~''~'0'~''~'EBB06DD3-2B40-43E4-9405-29ABD2033262'~'86DBFFF6-CBB6-49B3-A2D1-052B52FE1326'
'260'~'10 S. Riverside Plaza        260'~'Chicago IL 60606 USA        260'~''~'Oxfordshire'~'Abingdon'~'0'~'OX7 T56'~'19'~''~'7C358C90-55DE-4E07-A1F1-6E42D5F13DF8'~'66FC0F36-1060-4CDE-8AF7-7CF4DC076154'
'261'~'10 S. Riverside Plaza        261'~'Chicago IL 60606 USA        261'~''~''~''~'0'~''~'0'~''~'626393A6-95E5-405C-9E7D-DD65677A71E5'~'66FC0F36-1060-4CDE-8AF7-7CF4DC076154'
'262'~'10 S. Riverside Plaza        262'~'Chicago IL 60606 USA        262'~''~''~''~'0'~''~'0'~''~'626393A6-95E5-405C-9E7D-DD65677A71E5'~'66FC0F36-1060-4CDE-8AF7-7CF4DC076154'
'263'~'10 S. Riverside Plaza        263'~'Chicago IL 60606 USA        263'~''~''~''~'0'~''~'0'~''~'73DD89DF-D2AE-4EA5-995B-9AE311955165'~'07D99672-970A-4B4F-96D2-C738FE3FEE5F'
'264'~'10 S. Riverside Plaza        264'~'Chicago IL 60606 USA        264'~''~''~''~'0'~''~'0'~''~'73DD89DF-D2AE-4EA5-995B-9AE311955165'~'07D99672-970A-4B4F-96D2-C738FE3FEE5F'
'265'~'10 S. Riverside Plaza        265'~'Chicago IL 60606 USA        265'~''~''~''~'0'~''~'0'~''~'73DD89DF-D2AE-4EA5-995B-9AE311955165'~'07D99672-970A-4B4F-96D2-C738FE3FEE5F'
'266'~'10 S. Riverside Plaza        266'~'Chicago IL 60606 USA        266'~''~''~'warwick'~'0'~''~'34'~''~'31A42542-10B4-4962-AF6D-37B45F5445D2'~'220F3987-6756-4274-9F1A-02F81C889E88'
'267'~'10 S. Riverside Plaza        267'~'Chicago IL 60606 USA        267'~''~''~''~'0'~''~'0'~''~'8707FEEA-546F-4B49-86E7-2A8735780624'~'86DBFFF6-CBB6-49B3-A2D1-052B52FE1326'
'268'~'10 S. Riverside Plaza        268'~'Chicago IL 60606 USA        268'~''~''~''~'0'~''~'0'~''~'8707FEEA-546F-4B49-86E7-2A8735780624'~'86DBFFF6-CBB6-49B3-A2D1-052B52FE1326'
'269'~'10 S. Riverside Plaza        269'~'Chicago IL 60606 USA        269'~''~''~'Abingdon'~'1673'~'OX7 4AB'~'19'~''~'9884A03F-9A38-4FC3-86FD-FEA74BA6B5D0'~'730332F9-4591-4120-A797-3D08350C4498'
'270'~'10 S. Riverside Plaza        270'~'Chicago IL 60606 USA        270'~''~''~''~'0'~''~'0'~''~'8F3FF9DD-9D3F-4741-9852-3DB96363BD1A'~'66FC0F36-1060-4CDE-8AF7-7CF4DC076154'
'271'~'10 S. Riverside Plaza        271'~'Chicago IL 60606 USA        271'~''~''~''~'0'~''~'0'~''~'8F3FF9DD-9D3F-4741-9852-3DB96363BD1A'~'66FC0F36-1060-4CDE-8AF7-7CF4DC076154'
'272'~'10 S. Riverside Plaza        272'~'Chicago IL 60606 USA        272'~''~''~'test'~'0'~''~'72'~''~'46BF5648-65D7-443C-BEDD-F169BC097E80'~'66FC0F36-1060-4CDE-8AF7-7CF4DC076154'
'273'~'10 S. Riverside Plaza        273'~'Chicago IL 60606 USA        273'~''~''~'test'~'0'~''~'72'~''~'46BF5648-65D7-443C-BEDD-F169BC097E80'~'66FC0F36-1060-4CDE-8AF7-7CF4DC076154'
'274'~'10 S. Riverside Plaza        274'~'Chicago IL 60606 USA        274'~''~'Oxfordshire'~'Abingdon'~'0'~'OX7 T56'~'19'~''~'7C358C90-55DE-4E07-A1F1-6E42D5F13DF8'~'66FC0F36-1060-4CDE-8AF7-7CF4DC076154'
'275'~'10 S. Riverside Plaza        275'~'Chicago IL 60606 USA        275'~''~'Oxfordshire'~'Abingdon'~'0'~'OX7 T56'~'19'~''~'7C358C90-55DE-4E07-A1F1-6E42D5F13DF8'~'66FC0F36-1060-4CDE-8AF7-7CF4DC076154'
'276'~'10 S. Riverside Plaza        276'~'Chicago IL 60606 USA        276'~''~''~''~'0'~''~'0'~''~'EF0F599F-BF2F-47F1-B1FD-4D5300609459'~'66FC0F36-1060-4CDE-8AF7-7CF4DC076154'
'277'~'10 S. Riverside Plaza        277'~'Chicago IL 60606 USA        277'~''~''~''~'0'~''~'0'~''~'EF0F599F-BF2F-47F1-B1FD-4D5300609459'~'66FC0F36-1060-4CDE-8AF7-7CF4DC076154'
'278'~'10 S. Riverside Plaza        278'~'Chicago IL 60606 USA        278'~''~''~'test'~'7'~''~'76'~''~'49416656-B736-4BB2-BA1C-50FE6452ACF3'~'580C4EC0-04C1-4496-B286-CFB127A2D988'
'279'~'10 S. Riverside Plaza        279'~'Chicago IL 60606 USA        279'~''~''~'test'~'7'~''~'76'~''~'49416656-B736-4BB2-BA1C-50FE6452ACF3'~'580C4EC0-04C1-4496-B286-CFB127A2D988'
'280'~'10 S. Riverside Plaza        280'~'Chicago IL 60606 USA        280'~''~''~'test'~'0'~''~'34'~''~'A79FE6DA-5E1F-49B8-BD48-60B8462D15F5'~'66FC0F36-1060-4CDE-8AF7-7CF4DC076154'
'281'~'10 S. Riverside Plaza        281'~'Chicago IL 60606 USA        281'~''~''~'test'~'0'~''~'34'~''~'A79FE6DA-5E1F-49B8-BD48-60B8462D15F5'~'66FC0F36-1060-4CDE-8AF7-7CF4DC076154'
'282'~'10 S. Riverside Plaza        282'~'Chicago IL 60606 USA        282'~''~''~'test'~'0'~''~'21'~''~'9977127D-FF5A-49C9-B57B-CCDD8AA96ED6'~'66FC0F36-1060-4CDE-8AF7-7CF4DC076154'
'283'~'10 S. Riverside Plaza        283'~'Chicago IL 60606 USA        283'~''~''~'test'~'0'~''~'21'~''~'9977127D-FF5A-49C9-B57B-CCDD8AA96ED6'~'66FC0F36-1060-4CDE-8AF7-7CF4DC076154'
'284'~'10 S. Riverside Plaza        284'~'Chicago IL 60606 USA        284'~''~''~''~'0'~''~'0'~''~'B413B8E5-DC3B-4442-ABAB-9C708F4C9693'~'66FC0F36-1060-4CDE-8AF7-7CF4DC076154'
'285'~'10 S. Riverside Plaza        285'~'Chicago IL 60606 USA        285'~''~''~'Anytown'~'0'~'ARG554'~'67'~''~'B413B8E5-DC3B-4442-ABAB-9C708F4C9693'~'66FC0F36-1060-4CDE-8AF7-7CF4DC076154'
'286'~'10 S. Riverside Plaza        286'~'Chicago IL 60606 USA        286'~''~''~'Anytown'~'0'~'ARG554'~'67'~''~'B413B8E5-DC3B-4442-ABAB-9C708F4C9693'~'66FC0F36-1060-4CDE-8AF7-7CF4DC076154'
'287'~'10 S. Riverside Plaza        287'~'Chicago IL 60606 USA        287'~''~''~''~'0'~''~'0'~''~'97CFE6EB-CD93-47B2-A37B-3A4E2AF616B3'~'66FC0F36-1060-4CDE-8AF7-7CF4DC076154'
'288'~'10 S. Riverside Plaza        288'~'Chicago IL 60606 USA        288'~''~''~''~'0'~''~'0'~''~'97CFE6EB-CD93-47B2-A37B-3A4E2AF616B3'~'66FC0F36-1060-4CDE-8AF7-7CF4DC076154'
'289'~'10 S. Riverside Plaza        289'~'Chicago IL 60606 USA        289'~''~''~''~'0'~''~'0'~''~'9FF5606A-7DAE-4F1F-A9CC-D1985A91E720'~'66FC0F36-1060-4CDE-8AF7-7CF4DC076154'
'290'~'10 S. Riverside Plaza        290'~'Chicago IL 60606 USA        290'~''~''~''~'0'~''~'0'~''~'9FF5606A-7DAE-4F1F-A9CC-D1985A91E720'~'66FC0F36-1060-4CDE-8AF7-7CF4DC076154'
'291'~'10 S. Riverside Plaza        291'~'Chicago IL 60606 USA        291'~''~''~''~'0'~''~'0'~''~'9FF5606A-7DAE-4F1F-A9CC-D1985A91E720'~'66FC0F36-1060-4CDE-8AF7-7CF4DC076154'
'292'~'10 S. Riverside Plaza        292'~'Chicago IL 60606 USA        292'~''~''~'warwick'~'0'~''~'54'~''~'7369CC96-AD0B-452B-893E-FF40BF0DD903'~'220F3987-6756-4274-9F1A-02F81C889E88'
'293'~'10 S. Riverside Plaza        293'~'Chicago IL 60606 USA        293'~''~''~'warwick'~'0'~''~'54'~''~'7369CC96-AD0B-452B-893E-FF40BF0DD903'~'220F3987-6756-4274-9F1A-02F81C889E88'
'294'~'10 S. Riverside Plaza        294'~'Chicago IL 60606 USA        294'~''~''~'warwick'~'0'~''~'34'~''~'31A42542-10B4-4962-AF6D-37B45F5445D2'~'220F3987-6756-4274-9F1A-02F81C889E88'
'295'~'10 S. Riverside Plaza        295'~'Chicago IL 60606 USA        295'~''~''~'warwick'~'0'~''~'34'~''~'31A42542-10B4-4962-AF6D-37B45F5445D2'~'220F3987-6756-4274-9F1A-02F81C889E88'
'296'~'10 S. Riverside Plaza        296'~'Chicago IL 60606 USA        296'~''~''~'Coventry'~'1565'~'C54 7YT'~'19'~~'7EC0E585-FF9E-4AA9-9938-2A277CA417A8'~'66FC0F36-1060-4CDE-8AF7-7CF4DC076154'
'297'~'10 S. Riverside Plaza        297'~'Chicago IL 60606 USA        297'~''~''~''~'0'~''~'0'~~'7EC0E585-FF9E-4AA9-9938-2A277CA417A8'~'66FC0F36-1060-4CDE-8AF7-7CF4DC076154'
'298'~'10 S. Riverside Plaza        298'~'Chicago IL 60606 USA        298'~''~''~''~'0'~''~'0'~~'7EC0E585-FF9E-4AA9-9938-2A277CA417A8'~'66FC0F36-1060-4CDE-8AF7-7CF4DC076154'
'299'~'10 S. Riverside Plaza        299'~'Chicago IL 60606 USA        299'~''~''~'Daytona Beach '~'10'~'32114'~'76'~~'A271B23D-11D2-41DD-A0C6-7BC64AD1FCA8'~'CD453D36-188E-4778-8CBF-E8655E47607E'
'300'~'10 S. Riverside Plaza        300'~'Chicago IL 60606 USA        300'~''~''~''~'0'~''~'0'~~'7CBE7A67-18A6-4FAA-B600-5C5AE1930BDD'~'66FC0F36-1060-4CDE-8AF7-7CF4DC076154'
'301'~'10 S. Riverside Plaza        301'~'Chicago IL 60606 USA        301'~''~''~''~'0'~''~'0'~~'7CBE7A67-18A6-4FAA-B600-5C5AE1930BDD'~'66FC0F36-1060-4CDE-8AF7-7CF4DC076154'
'302'~'10 S. Riverside Plaza        302'~'Chicago IL 60606 USA        302'~''~''~''~'0'~''~'0'~~'20CE9D76-4F1F-47E4-9833-B6E032309F7B'~'226BFEC7-79AE-401A-89C9-3B0A24BF06E0'
'303'~'10 S. Riverside Plaza        303'~'Chicago IL 60606 USA        303'~''~''~''~'0'~''~'0'~~'20CE9D76-4F1F-47E4-9833-B6E032309F7B'~'226BFEC7-79AE-401A-89C9-3B0A24BF06E0'
'304'~'10 S. Riverside Plaza        304'~'Chicago IL 60606 USA        304'~''~''~''~'0'~''~'0'~~'20CE9D76-4F1F-47E4-9833-B6E032309F7B'~'226BFEC7-79AE-401A-89C9-3B0A24BF06E0'
'305'~'10 S. Riverside Plaza        305'~'Chicago IL 60606 USA        305'~''~''~'warwick'~'40'~'02886'~'76'~~'CDE4AB21-698D-43F9-9AC5-51D535489A10'~'66FC0F36-1060-4CDE-8AF7-7CF4DC076154'
'306'~'10 S. Riverside Plaza        306'~'Chicago IL 60606 USA        306'~''~''~'warwick'~'40'~'02886'~'76'~~'CDE4AB21-698D-43F9-9AC5-51D535489A10'~'66FC0F36-1060-4CDE-8AF7-7CF4DC076154'
